Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;408408408408;C8:E7:D8:34:E1:20;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Wed Oct 25 02:20:29 2017;Wed Oct 25 02:22:18 2017;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;ASUS;CC:81:DA:65:95:88;;8;No;WPA2,AES-CCM;No;54.0;0;14;0;0;0;0;0;;;Wed Oct 25 02:20:32 2017;Wed Oct 25 02:22:13 2017;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ABCD;A2:88:69:A0:3B:15;;11;No;WPA2,AES-CCM;No;54.0;0;22;0;2;0;0;2;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;MERCURY_A1EA;50:BD:5F:91:A1:EA;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Oct 25 02:20:37 2017;Wed Oct 25 02:22:18 2017;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;ÃÜÂëÊÇ**********;C8:E7:D8:0C:83:B2;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;18;0;4;0;0;4;;;Wed Oct 25 02:20:34 2017;Wed Oct 25 02:22:24 2017;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;CMCc;D8:32:14:9B:35:31;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Oct 25 02:20:29 2017;Wed Oct 25 02:22:20 2017;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;è..è´­å.©äº.;6A:00:E3:F1:D6:B5;;11;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Oct 25 02:20:50 2017;Wed Oct 25 02:22:17 2017;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;TP-LINK_300AA4;A8:57:4E:30:0A:A4;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;19;0;0;0;0;0;;;Wed Oct 25 02:20:29 2017;Wed Oct 25 02:22:18 2017;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;LieBaoWiFi481;4A:C2:DD:54:BE:C1;;11;No;WPA2,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Wed Oct 25 02:20:42 2017;Wed Oct 25 02:22:23 2017;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;AMSI;32:3A:64:CF:FF:DA;;11;No;WPA2,AES-CCM;No;54.0;0;25;0;0;0;0;0;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
